通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
51,2014,基礎調査,農業,高品質米のバリューチェーン構築事業調査(中小企業連携促進),株式会社西部開発農産、Value Frontier株式会社、VJBC合同会社 共同企業体,岩手県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
52,2017,基礎調査,その他,コンクリート構造物の長寿命化に資するひび割れ・劣化部補修事業に関する基礎調査,株式会社栄組,岩手県,株式会社フォーバル,ブラジル
,,,,,,,,
53,2014,案件化調査（中小企業支援型）,職業訓練・産業育成,カイメップ港の機能向上に向けた物流サービス提供のための案件化調査,白金運輸株式会社,岩手県,株式会社福山コンサルタント、株式会社RTアシスト,ベトナム
,,,,,,,,
,,,,,,,,
54,2017,案件化調査（中小企業支援型）,職業訓練・産業育成,工業教育分野における開発技術者及びものづくり人材育成プログラムに係る案件化調査,株式会社モディー,岩手県,株式会社フォーバル,ベトナム
,,,,,,,,
,,,,,,,,
55,2019,案件化調査（中小企業支援型）,農業,クアンチ省砂丘メロンの流通事業化に係る案件化調査,株式会社西部開発農産,岩手県,Value Frontier株式会社,ベトナム
56,2017,案件化調査（中小企業支援型）,防災・災害対策,"スーパーウェルポイント工法を活用した地盤改良及び洪水対策案件化調査【5,000万円上限枠】",株式会社アサヒテクノ,岩手県,株式会社日本開発政策研究所,マレーシア
,,,,,,,,
57,2019,案件化調査（中小企業支援型）,その他,圧力調整注入工法を活用したコンクリート構造物の補修及び長寿命化にかかる案件化調査,株式会社栄組,岩手県,【契約交渉中】,ブラジル
58,2019,普及・実証・ビジネス化事業（中小企業支援型）,職業訓練・産業育成,自動車産業における技術者及び技能者育成プログラム普及・実証・ビジネス化事業,株式会社モディー,岩手県,【契約交渉中】,ベトナム
59,2019,普及・実証・ビジネス化事業（中小企業支援型）,農業,組織培養技術を用いた高品質花き種苗生産の普及・実証・ビジネス化事業【アフリカ課題提示型】,株式会社R-GATE八幡平,岩手県,【契約交渉中】,ルワンダ
60,2014,基礎調査,農業,高品質米のバリューチェーン構築事業調査(中小企業連携促進),株式会社西部開発農産、Value Frontier株式会社、VJBC合同会社 共同企業体,岩手県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
61,2017,基礎調査,その他,コンクリート構造物の長寿命化に資するひび割れ・劣化部補修事業に関する基礎調査,株式会社栄組,岩手県,株式会社フォーバル,ブラジル
,,,,,,,,
