通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
1044,2013,協力準備調査（BOPビジネス連携促進）,都市開発・地域開発,余剰農作物を利用した高付加価値スキンケア商品事業準備調査(BOPビジネス連携促進),ロート製薬株式会社、一般財団法人アライアンス・フォーラム財団 共同企業体,大阪府,-,ケニア
,,,,,,,,
1045,2013,民間技術普及促進事業,環境・エネルギー,ワルザザトにおける集光型太陽光発電システム(CPV)普及促進事業,住友電気工業株式会社,大阪府,-,モロッコ
,,,,,,,,
,,,,,,,,
,,,,,,,,
1046,2013,民間技術普及促進事業,環境・エネルギー,非開削下水道管路更生工法普及促進事業,積水化学工業株式会社、一般財団法人都市技術センター 共同企業体,大阪府,-,ベトナム
,,,,,,,,
,,,,,,,,
1047,2014,民間技術普及促進事業,環境・エネルギー,日本式配電技術訓練システム普及促進事業,株式会社きんでん、住友商事株式会社 共同企業体,大阪府,-,ミャンマー
,,,,,,,,
,,,,,,,,
1048,2015,民間技術普及促進事業,環境・エネルギー,ACF大気浄化ユニット普及促進事業,大阪ガスエンジニアリング株式会社,大阪府,片平エンジニアリング・インターナショナル,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
1049,2016,民間技術普及促進事業,環境・エネルギー,環境配慮型空調機普及促進事業,ダイキン工業株式会社,大阪府,(なし),メキシコ
,,,,,,,,
1050,2017,民間技術普及促進事業,環境・エネルギー,環境配慮型省エネ空調機普及促進事業,ダイキン工業株式会社,大阪府,(なし),ブラジル
,,,,,,,,
1051,2018,民間技術普及促進事業,廃棄物処理,PHBH系コンパウンドによる生分解性レジ袋普及促進事業,株式会社カネカ,大阪府,三菱UFJリサーチ&コンサルティング株式会社,ケニア
,,,,,,,,
1052,2015,民間技術普及促進事業,水の浄化・水処理,給水装置施工技術普及促進事業,株式会社タブチ,大阪府,(なし),ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
1053,2014,民間技術普及促進事業,職業訓練・産業育成,高精度アーク溶接技術普及促進事業,パナソニック溶接システム株式会社、株式会社栗田機械製作所 共同企業体,大阪府,(なし),インド
,,,,,,,,
,,,,,,,,
,,,,,,,,
1054,2014,民間技術普及促進事業,農業,農業セクター支援の為の高効率で経済的な渦巻ポンプ普及促進事業,株式会社酉島製作所,大阪府,パシフィックコンサルタンツ株式会社,ウズベキスタン
,,,,,,,,
,,,,,,,,
,,,,,,,,
1055,2013,民間技術普及促進事業,保健医療,持続可能な包括的日本式白内障診療普及促進事業,ロート製薬株式会社,大阪府,一般社団法人ジェイ・アイ・ジー・エイチ,ミャンマー
,,,,,,,,
,,,,,,,,
1056,2013,民間技術普及促進事業,保健医療,透析技術ネットワーク開発計画におけるCDDS(多人数用透析液供給装置)技術普及促進事業,旭化成株式会社、旭化成メディカル株式会社、日機装株式会社 共同企業体,大阪府,株式会社シー・ディー・シー・インターナショナル,タイ
,,,,,,,,
,,,,,,,,
1057,2014,民間技術普及促進事業,保健医療,結核患者の服薬遵守支援システム普及促進事業,大塚製薬株式会社,大阪府,PTコペルニク,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
1058,2016,民間技術普及促進事業,保健医療,感染症対策塗料普及促進事業,関西ペイント株式会社,大阪府,-,ザンビア
,,,,,,,,
,,,,,,,,
1059,2013,民間技術普及促進事業,運輸交通,バンコク都の渋滞問題改善のための交通管制システム維持・管理技術普及促進事業,住友電気工業株式会社,大阪府,(なし),タイ
1060,2014,民間技術普及促進事業,運輸交通,ジャカルタMRTにおける安全管理対策のためのOSV計測技術の普及促進事業,株式会社環境総合テクノス、東亞エルメス株式会社、曙ブレーキ工業株式会社 共同企業体,大阪府,株式会社オリンタルコンサルタンツ,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
1061,2015,民間技術普及促進事業,運輸交通,特殊高所技術を用いた構造物点検技術普及促進事業,阪神高速道路株式会社、株式会社特殊高所技術 共同企業体,大阪府,(なし),モロッコ
,,,,,,,,
,,,,,,,,
,,,,,,,,
1062,2018,途上国の課題解決型ビジネス（SDGsビジネス）調査,農業,栄養改善及び女性の収入向上のための大豆食品バリューチェーン構築ビジネス(SDGsビジネス)調査,不二製油グループ本社株式会社,大阪府,【契約交渉中】,ブルキナファソ
1063,2018,途上国の課題解決型ビジネス（SDGsビジネス）調査,保健医療,デング熱対策のための防蚊衣類生産・販売ビジネス(SDGsビジネス)調査,帝人フロンティア株式会社、アース製薬株式会社 共同企業体,大阪府,PwCサステナビリティ合同会社、PT PricewaterhouseCoopers Consulting Indonesia,インドネシア
,,,,,,,,
1064,2019,案件化調査（SDGs型）,環境・エネルギー,直流連系線事業に係る案件化調査,関西電力株式会社,大阪府,【契約交渉中】,ラオス
1065,2018,案件化調査（SDGs型）,防災・災害対策,日本のプレハブ技術を活用した低所得者向け耐震住宅案件化調査(SDGsビジネス支援型),大和リース株式会社、学校法人東洋大学 共同企業体,大阪府,(なし),インドネシア
,,,,,,,,
1066,2018,案件化調査（SDGs型）,防災・災害対策,特殊積層繊維シートによるインフラ補修・補強案件化調査,株式会社淺沼組、株式会社ケー・エフ・シー、阪神高速道路株式会社 共同企業体,大阪府,-,タイ
,,,,,,,,
,,,,,,,,
1067,2019,案件化調査（SDGs型）,防災・災害対策,EWBS機能付きセットトップボックスの流通に向けた案件化調査,株式会社ピクセラ,大阪府,(なし),エクアドル
1068,2020,案件化調査（SDGs型）,エネルギー,タンザニア国高効率エアコンサブスクリプションビジネス案件化調査,ダイキン工業株式会社,大阪府,【契約交渉中】,タンザニア
1069,2019,普及・実証・ビジネス化事業（SDGs型）,農業,小規模稲作農家向け農業機械の普及・実証・ビジネス化事業【アフリカ課題提示型】,株式会社クボタ,大阪府,【契約交渉中】,ナイジェリア
1070,2019,普及・実証・ビジネス化事業（SDGs型）,農業,日本市場向け高品質ゴマの生産促進および産地形成支援を目的とした普及・実証・ビジネス化事業,カタギ食品株式会社,大阪府,【契約交渉中】,ミャンマー
1071,2018,普及・実証・ビジネス化事業（SDGs型）,情報通信技術,高密度多芯光ケーブル普及・実証・ビジネス化事業,住友電気工業株式会社,大阪府,【契約交渉中】,タイ
1072,2020,普及・実証・ビジネス化事業（SDGs型）,エネルギー,スリランカ国既設水力ダム湖における水上太陽光発電所開発普及・実証・ビジネス化事業,伊藤忠商事株式会社,大阪府,【契約交渉中】,スリランカ
1073,2017,案件化調査（中小企業支援型）,廃棄物処理,島嶼部における小型メタン発酵技術を活用した包括的有機資源循環システム導入の案件化調査,株式会社ヴァイオス,和歌山県,株式会社アミタ持続可能経済研究所、株式会社オオマエ,パラオ
,,,,,,,,
,,,,,,,,
1074,2016,案件化調査（中小企業支援型）,農業,米油及び脱脂糠の製造並びに用途開発にかかる案件化調査,築野食品工業株式会社,和歌山県,株式会社大和総研、株式会社コーエイ総合研究所,ベトナム
,,,,,,,,
,,,,,,,,
1075,2019,普及・実証・ビジネス化事業（中小企業支援型）,職業訓練・産業育成,建設機械の整備・運転技能強化のための訓練教習所運営の普及・実証・ビジネス化事業【中堅企業枠】,株式会社キナン,和歌山県,【契約交渉中】,ミャンマー
1076,2016,基礎調査,環境・エネルギー,小型メタン発酵システムによる有機性廃棄物の肥料化・発電にかかる基礎調査,株式会社ヴァイオス,和歌山県,株式会社ジームス・アソシエイツ、マイクライメイトジャパン株式会社,タイ
,,,,,,,,
,,,,,,,,
1977,2014,案件化調査（中小企業支援型）,環境・エネルギー,アブラヤシ殻等のバイオマス燃料化に関する案件化調査,新日本溶業株式会社,兵庫県,株式会社商貿企画、カーボンフリーコンサルティング株式会社、山田ビジネスコンサルティング株式会社,インドネシア
,,,,,,,,
,,,,,,,,
1078,2018,案件化調査（中小企業支援型）,環境・エネルギー,蒸気システム最適化(SSOP)による生産現場の省エネに向けた案件化調査【中堅企業枠】,テイエルブイインターナショナル株式会社,兵庫県,株式会社パデコ,アルゼンチン
,,,,,,,,
1079,2016,案件化調査（中小企業支援型）,廃棄物処理,有害廃棄物質再生装置の導入による有害廃棄物処理能力改善と静脈産業の高度化に関する案件化調査,コーベックス株式会社,兵庫県,(なし),タイ
,,,,,,,,
,,,,,,,,
1080,2015,案件化調査（中小企業支援型）,水の浄化・水処理,省エネルギーと排水処理能力アップを実現する産業排水処理装置普及のための案件化調査,株式会社アイエンス,兵庫県,株式会社かいはつマネジメント・コンサルティング,ベトナム
,,,,,,,,
,,,,,,,,
1081,2018,案件化調査（中小企業支援型）,水の浄化・水処理,南部デルタ貧困地域の水衛生問題改善のための病院・市場等への高度浄化槽導入に関する案件化調査,株式会社OKAMURA,兵庫県,日本工営株式会社,ミャンマー
1082,2017,案件化調査（中小企業支援型）,職業訓練・産業育成,住宅建築における安全化、省エネ・省資源化、衛生化へ向けた産業人材育成のための案件化調査,株式会社ブレインワークス,兵庫県,一般社団法人OSAジャパン、株式会社毛利建築設計事務所,ケニア
,,,,,,,,
1083,2015,案件化調査（中小企業支援型）,農業,育苗及び生産の近代化による高品質花卉の産地育成案件化調査,株式会社姫路生花卸売市場,兵庫県,三菱UFJリサーチ&コンサルティング株式会社,ベトナム
,,,,,,,,
,,,,,,,,
1084,2016,案件化調査（中小企業支援型）,農業,灌漑用水用ため池事業推進計画に関する案件化調査,シバタ工業株式会社,兵庫県,株式会社オリエンタルコンサルタンツ、オーピーシー株式会社,カンボジア
,,,,,,,,
,,,,,,,,
1085,2018,案件化調査（中小企業支援型）,保健医療,機能回復を目的としたリハビリサービス導入事業案件化調査【中堅企業枠】,株式会社ポラリス,兵庫県,【契約交渉中】,ベトナム
1086,2017,案件化調査（中小企業支援型）,その他,はりかい式高品位水産物生産を活用したグローバル・フードバリューチェーン構築に係る案件化調査,有限会社播磨海洋牧場,兵庫県,(なし),東ティモール
,,,,,,,,
,,,,,,,,
1087,2016,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,省エネルギーと排水処理能力アップを実現する産業排水処理装置の普及・実証事業,株式会社アイエンス,兵庫県,株式会社かいはつマネジメント・コンサルティング,ベトナム
,,,,,,,,
1088,2017,普及・実証・ビジネス化事業（中小企業支援型）,農業,育苗及び生産の近代化による高品質花卉の産地育成 普及・実証事業,株式会社姫路生花卸売市場,兵庫県,三菱UFJリサーチ&コンサルティング株式会社,ベトナム
1089,2019,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,雨水依存地域における干ばつ時の水資源確保のための普及・実証・ビジネス化事業,シバタ工業株式会社,兵庫県,【契約交渉中】,カンボジア
1090,2014,普及・実証・ビジネス化事業（中小企業支援型）,その他,ビエンチャン市都市交通改善のための位置情報・交通観測システム普及・実証事業,株式会社社会システム総合研究所,兵庫県,株式会社片平エンジニアリング・インターナショナル,ラオス
,,,,,,,,
,,,,,,,,
,,,,,,,,
1091,2019,基礎調査,環境・エネルギー,LPガスベーパーライザー(気化器)の需要と販売展開に係る基礎調査,カグラベーパーテック株式会社,兵庫県,【契約交渉中】,タンザニア
1092,2017,基礎調査,職業訓練・産業育成,建機オペレーター育成と建機作業請負事業化に関する基礎調査,盛興業株式会社,兵庫県,セレンディル株式会社,ラオス
,,,,,,,,
1093,2013,基礎調査,農業,薄荷栽培・抽出事業調査(中小企業連携促進),鈴木薄荷株式会社、日本工営株式会社、双日株式会社 共同企業体,兵庫県,(なし),ベトナム
1094,2018,基礎調査,農業,次亜塩素酸水(レドックスター)生成器と衛生管理技術による加工食品の付加価値向上にかかる基礎調査(中小企業支援型),RED株式会社,兵庫県,日本エヌ・ユー・エス株式会社,ベトナム
,,,,,,,,
1095,2020,基礎調査,保健医療,高純度透析用水製造・水質管理者育成による人工透析治療の環境向上のための基礎調査,株式会社ジー・キューブ,兵庫県,【契約交渉中】,タンザニア
1096,2020,基礎調査,教育,技術教育卒業資格取得のための自学自習を支援するeラーニングの導入にかかる基礎調査,株式会社龍野情報システム,兵庫県,【契約交渉中】,パキスタン
1097,2012,協力準備調査（PPPインフラ事業）,廃棄物処理,南部固形廃棄物処理事業準備調査(PPPインフラ事業),株式会社神鋼環境ソリューション、ツネイシカムテックス株式会社、八千代エンジニヤリング株式会社、株式会社ワールド・リンク・ジャパン 共同企業体,兵庫県,-,ベトナム
,,,,,,,,
,,,,,,,,
1098,2010,協力準備調査（PPPインフラ事業）,運輸交通,キエンザン省フーコック島水インフラ総合開発事業準備調査(PPPインフラ事業),株式会社神鋼環境ソリューション、株式会社日水コン 共同企業体,兵庫県,-,ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1099,2012,協力準備調査（PPPインフラ事業）,運輸交通,ティラワ港開発及び国内物流事業準備調査(PPPインフラ事業),株式会社上組、豊田通商株式会社 共同企業体,兵庫県,-,ミャンマー
,,,,,,,,
,,,,,,,,
1100,2011,協力準備調査（PPPインフラ事業）,情報通信技術,ジャカルタ渋滞対策に資するITS事業準備調査(PPPインフラ事業),三菱重工業株式会社、株式会社三菱総合研究所 共同企業体,兵庫県,-,インドネシア
,,,,,,,,
1101,2016,協力準備調査（BOPビジネス連携促進）,農業,レンコン・バリューチェーン構築事業準備調査(BOPビジネス連携促進),株式会社アグリセールス、株式会社七色畑ファーム 共同企業体,兵庫県,株式会社かいはつマネジメント・コンサルティング,ベトナム
,,,,,,,,
,,,,,,,,
1102,2015,民間技術普及促進事業,保健医療,臨床検査室品質管理技術普及促進事業,シスメックス株式会社,兵庫県,株式会社ティーエーネットワーキング,ナミビア
,,,,,,,,
,,,,,,,,
,,,,,,,,
1103,2017,民間技術普及促進事業,保健医療,尿検査自動化技術普及促進事業,シスメックス株式会社,兵庫県,-,ガーナ
,,,,,,,,
1104,2018,普及・実証・ビジネス化事業（SDGs型）,農業,森林保全に配慮した高品質カカオの普及・実証・ビジネス化事業,兼松株式会社、株式会社立花商店 共同企業体,兵庫県,【契約交渉中】,ギニア
,,,,,,,,
1105,2013,案件化調査（中小企業支援型）,環境・エネルギー,地域分散型バイオエタノール製造システム普及案件化調査,株式会社IBコンサルタント、株式会社ワールド・ビジネス・アソシエイツ、株式会社国際広報企画 共同企業体,島根県,(なし),フィリピン
,,,,,,,,
,,,,,,,,
,,,,,,,,
1106,2014,案件化調査（中小企業支援型）,環境・エネルギー,ラオス国における効率的炭製造方法の普及に関する案件化調査,有限会社山本粉炭工業,島根県,公共財団法人地球環境戦略研究機関、有限会社紋殊、日本テクノ株式会社、国立大学法人九州工業大学,ラオス
,,,,,,,,
1107,2014,案件化調査（中小企業支援型）,水の浄化・水処理,高濃度酸素水供給装置によるダム湖の水源機能再生案件化調査,松江土建株式会社,島根県,パシフィックコンサルタンツ株式会社,インド
,,,,,,,,
,,,,,,,,
1108,2015,案件化調査（中小企業支援型）,農業,ウニの沿岸完全養殖・加工システムの事業展開に関する案件化調査,株式会社貝援隊、中浦食品株式会社 共同企業体,島根県,株式会社工業市場研究所,フィリピン
,,,,,,,,
,,,,,,,,
1109,2013,案件化調査（中小企業支援型）,保健医療,医療の質を高める地域医療情報ネットワークシステム案件化調査,株式会社テクノプロジェクト、株式会社富士通総研 共同企業体,島根県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1110,2014,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,ネオナイト工法を活用した水質浄化普及実証事業,株式会社ネオナイト,島根県,カーボンフリーコンサルティング株式会社、一般財団法人日本国際協力システム,ペルー
,,,,,,,,
1111,2016,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,高濃度酸素水供給装置による湖沼浄化普及・実証事業【1.5億円枠】,松江土建株式会社,島根県,【契約交渉中】,インド
1112,2013,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,医療の質を高める地域医療情報ネットワークシステムの普及・実証事業,株式会社テクノプロジェクト,島根県,株式会社富士通総研,ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1113,2013,基礎調査,水の浄化・水処理,日本の天然資源を活用した水質浄化事業調査(中小企業連携促進),株式会社ネオナイト、一般財団法人日本国際協力システム、カーボンフリーコンサルティング株式会社 共同企業体,島根県,(なし),ペルー
1114,2016,基礎調査,職業訓練・産業育成,新たな米加工品(調理済食品)の現地生産体制構築・ビジネス化に関する基礎調査,アルファー食品株式会社,島根県,株式会社エブリプラン,インド
,,,,,,,,
,,,,,,,,
1115,2012,案件化調査（中小企業支援型）,環境・エネルギー,ソロモン諸島及びその他太平洋諸島における環境配慮型トイレ導入調査,大成工業株式会社、オリジナル設計株式会社 共同企業体,鳥取県,(なし),ソロモン
,,,,,,,,
,,,,,,,,
1116,2014,案件化調査（中小企業支援型）,廃棄物処理,コチ市の廃棄物処分場におけるコンポスト製造高速化技術導入案件化調査,三光株式会社,鳥取県,株式会社エブリプラン,インド
,,,,,,,,
,,,,,,,,
1117,2016,案件化調査（中小企業支援型）,廃棄物処理,使用済み紙おむつリサイクルシステム案件化調査,株式会社スーパー・フェイズ,鳥取県,株式会社オオマエ、株式会社グローバル事業開発研究所、エスぺランサ株式会社,マレーシア
,,,,,,,,
,,,,,,,,
1118,2015,案件化調査（中小企業支援型）,水の浄化・水処理,環境配慮型トイレの導入にかかる案件化調査,大成工業株式会社,鳥取県,オリジナル設計株式会社、株式会社イースクエア,インド
,,,,,,,,
,,,,,,,,
,,,,,,,,
1119,2019,案件化調査（中小企業支援型）,職業訓練・産業育成,Making Indonesia 4.0を推進するデジタル・エンジニアリングの案件化調査【途上国発イノベーション枠】,株式会社レクサー・リサーチ、扶桑工機株式会社 共同企業体,鳥取県,(なし),インドネシア
1120,2016,案件化調査（中小企業支援型）,防災・災害対策,森林・泥炭火災に対するゲルパック消火剤を用いた消火システム導入に係る案件化調査,株式会社イルカカレッジ,鳥取県,株式会社電通、デロイトトーマツコンサルティング合同会社,インドネシア
,,,,,,,,
,,,,,,,,
1121,2020,案件化調査（中小企業支援型）,環境,自動車エンジン用永久磁石式オイルフィルターによる大気汚染・省エネ・地球温暖化対策案件化調査,高林産業株式会社、株式会社ターゲンテックス 共同企業体,鳥取県,【契約交渉中】,タイ
1122,2016,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,ケララ州におけるコンポスト製造高速化技術導入普及・実証事業,三光株式会社,鳥取県,【契約交渉中】,インド
1123,2017,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,環境配慮型トイレの導入にかかる普及・実証事業,大成工業株式会社,鳥取県,株式会社イースクエア、オリジナル設計株式会社,インド
,,,,,,,,
1124,2013,普及・実証・ビジネス化事業（中小企業支援型）,農業,乾燥地節水型農業技術普及・実証事業,株式会社鳥取再資源化研究所,鳥取県,株式会社ＰＧＩ,モロッコ
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1125,2017,普及・実証・ビジネス化事業（中小企業支援型）,農業,乾燥地節水型農業技術普及・実証事業,株式会社鳥取再資源化研究所,鳥取県,株式会社PGI,ペルー
,,,,,,,,
11261127,2020,普及・実証・ビジネス化事業（中小企業支援型）,教育,デジタルエンジニアリング製造人材育成を推進する普及・実証・ビジネス化事業,株式会社レクサー・リサーチ、扶桑工機株式会社 共同企業体,鳥取県,【契約交渉中】,インドネシア
1128,2015,案件化調査（中小企業支援型）,廃棄物処理,都市生活ごみを含む有機系廃棄物の資源化による環境改善に関する案件化調査,CANホールディングス株式会社,岡山県,株式会社日建設計シビル,ベトナム
,,,,,,,,
,,,,,,,,
1129,2015,案件化調査（中小企業支援型）,農業,小規模組合方式によるタマネギ乾燥加工技術導入を通じた農生産者組合の収入向上案件化調査,大紀産業株式会社,岡山県,国際耕種株式会社,スーダン
,,,,,,,,
,,,,,,,,
1130,2016,案件化調査（中小企業支援型）,農業,イ草の栽培および加工・製造技術の導入に係る案件化調査,株式会社大島屋,岡山県,株式会社JIN,ミャンマー
,,,,,,,,
1131,2016,案件化調査（中小企業支援型）,農業,シェルナースを用いた持続可能な漁業に係る案件化調査,海洋建設株式会社,岡山県,Value Frontier株式会社、OAFIC株式会社,メキシコ
,,,,,,,,
,,,,,,,,
1132,2018,案件化調査（中小企業支援型）,防災・災害対策,耐久性の高い道路整備を可能にするコンクリート二次製品の導入に向けた案件化調査,株式会社三幸工務店、岡山コンクリート工業株式会社 共同企業体,岡山県,株式会社オリエンタルコンサルタンツグローバル,ラオス
,,,,,,,,
1133,2017,普及・実証・ビジネス化事業（中小企業支援型）,農業,農産物乾燥加工技術導入を通じたタマネギの付加価値創出に向けた普及・実証事業,大紀産業株式会社,岡山県,国際耕種株式会社,スーダン
,,,,,,,,
1134,2018,普及・実証・ビジネス化事業（中小企業支援型）,農業,シェルナースを用いた持続可能な漁業に係る普及・実証事業,海洋建設株式会社,岡山県,【契約交渉中】,メキシコ
1135,2019,普及・実証・ビジネス化事業（中小企業支援型）,その他,道路整備を促進するコンクリート二次製品の導入に向けた普及・実証・ビジネス化事業【インフラ整備技術推進特別枠】,株式会社三幸工務店、岡山コンクリート工業株式会社 共同企業体,岡山県,【契約交渉中】,ラオス
1336,2017,基礎調査,環境・エネルギー,高強度コンクリート製造の為の高品質で持続可能な人工砂製造に関する基礎調査,晃立工業株式会社,岡山県,株式会社エブリプラン,インド
,,,,,,,,
1137,2014,協力準備調査（BOPビジネス連携促進）,農業,ソフトシェルクラブ生産事業準備調査(BOPビジネス連携促進),玉野を元気にするぞ株式会社、OAFIC株式会社 共同企業体,岡山県,(なし),バングラデシュ
,,,,,,,,
,,,,,,,,
1138,2013,案件化調査（中小企業支援型）,環境・エネルギー,もみ殻を原料とした固形燃料製造装置の導入案件化調査,株式会社トロムソ、株式会社イースクエア 共同企業体,広島県,(なし),タンザニア
,,,,,,,,
1139,2014,案件化調査（中小企業支援型）,環境・エネルギー,軟弱地盤地域におけるTNF工法(地盤改良型直接基礎構造)普及に向けた案件化調査,株式会社タケウチ建設,広島県,三井共同建設コンサルタント株式会社,ベトナム
,,,,,,,,
,,,,,,,,
1140,2014,案件化調査（中小企業支援型）,環境・エネルギー,重化学工業分野の省エネに関する案件化調査,ADAPTEX株式会社,広島県,八千代エンジニヤリング株式会社,メキシコ
,,,,,,,,
1141,2018,案件化調査（中小企業支援型）,環境・エネルギー,帯水層の地中熱利用による高効率冷房システム案件化調査(中小企業支援型),ミサワ環境技術株式会社,広島県,株式会社PEARカーボンオフセット・イニシアティブ,タイ
,,,,,,,,
1142,2015,案件化調査（中小企業支援型）,廃棄物処理,廃棄物固形化燃料(RPF)の導入のための案件化調査,株式会社オガワエコノス,広島県,株式会社オリエンタルコンサルタンツグローバル,フィリピン
,,,,,,,,
,,,,,,,,
1143,2015,案件化調査（中小企業支援型）,水の浄化・水処理,カキ殻を活用した自己処理型水洗式バイオトイレの導入に関する案件化調査,永和国土環境株式会社、株式会社八杉商店 共同企業体,広島県,株式会社オリエンタルコンサルタンツグローバル,スリランカ
,,,,,,,,
,,,,,,,,
1144,2015,案件化調査（中小企業支援型）,水の浄化・水処理,水道インフラ管理システムの高度化を通じた水道運営改善案件化調査,株式会社パイプデザイン,広島県,三菱UFJリサーチ&コンサルティング株式会社,インドネシア
,,,,,,,,
,,,,,,,,
1145,2016,案件化調査（中小企業支援型）,水の浄化・水処理,直流駆動ポンプを活用したソーラーポンプシステムによる小規模地方給水施設整備事業案件化調査,テラル株式会社,広島県,マイクライメイトジャパン株式会社,セネガル
,,,,,,,,
,,,,,,,,
1146,2017,案件化調査（中小企業支援型）,水の浄化・水処理,飲料水浄化装置案件化調査,株式会社Emax,広島県,株式会社PEARカーボンオフセット・イニシアティブ,スリランカ
,,,,,,,,
,,,,,,,,
1147,2013,案件化調査（中小企業支援型）,職業訓練・産業育成,産業インフラ設備検査技術改善・向上を目的としたODA案件化調査,中外テクノス株式会社、有限責任監査法人トーマツ 共同企業体,広島県,(なし),インドネシア
,,,,,,,,
,,,,,,,,
1148,2013,案件化調査（中小企業支援型）,農業,イラワジ川流域における低吃水軽量台船を活用した農産物及び関連資材輸送システムの案件化調査,SAマリン有限会社、株式会社野村総合研究所 共同企業体,広島県,(なし),ミャンマー
,,,,,,,,
1149,2017,案件化調査（中小企業支援型）,農業,超高圧処理を用いた高付加価値食品産業振興に関する案件化調査,株式会社東洋高圧,広島県,カーボンフリーコンサルティング株式会社,ブラジル
,,,,,,,,
1150,2013,普及・実証・ビジネス化事業（中小企業支援型）,環境・エネルギー,もみ殻を原料とした固形燃料製造装置の普及・実証事業,株式会社トロムソ,広島県,株式会社イースクエア、株式会社オーガニック・ソリューションズ・ジャパン,タンザニア
,,,,,,,,
,,,,,,,,
,,,,,,,,
1151,2013,普及・実証・ビジネス化事業（中小企業支援型）,環境・エネルギー,持続的廃棄物管理に向けた廃プラスチック燃料化技術の普及・実証事業,株式会社CFP、株式会社カネミヤ 共同企業体,広島県,株式会社アンジェロセック,南アフリカ共和国
,,,,,,,,
,,,,,,,,
,,,,,,,,
1152,2017,普及・実証・ビジネス化事業（中小企業支援型）,環境・エネルギー,プロセス産業における石油精製分野に対するビッグデータ解析技術と高度制御技術による省エネ化・収益改善の普及・実証事業,ADAPTEX株式会社,広島県,【契約交渉中】,メキシコ
1153,2017,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,自己処理型水洗式バイオトイレの普及・実証事業,永和国土環境株式会社、株式会社八杉商店 共同企業体,広島県,株式会社オリエンタルコンサルタンツグローバル,スリランカ
,,,,,,,,
1154,2013,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,産業インフラ設備検査技術改善・向上の普及・実証事業,中外テクノス株式会社,広島県,有限責任監査法人トーマツ、システム科学コンサルタンツ株式会社、カーボンフリーコンサルティング株式会社,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
1155,2013,普及・実証・ビジネス化事業（中小企業支援型）,その他,イラワジ川における低吃水軽量台船の普及・実証事業,SAマリン有限会社,広島県,株式会社野村総合研究所、日本工営株式会社,ミャンマー
,,,,,,,,
,,,,,,,,
,,,,,,,,
1156,2018,普及・実証・ビジネス化事業（中小企業支援型）,その他,直流及び交流駆動型ソーラーポンプシステムを活用した小規模地方給水施設整備普及・実証事業,テラル株式会社、株式会社エー・シー・アイ 共同企業体,広島県,マイクライメイトジャパン株式会社,セネガル
1157,2015,基礎調査,職業訓練・産業育成,「ヤンゴン・マンダレー・ムセ」幹線間における高品質な両荷物流事業実現に向けた事業基礎調査,株式会社エムケー,広島県,株式会社フォーバル,ミャンマー
,,,,,,,,
,,,,,,,,
1158,2019,基礎調査,保健医療,訪問診療におけるポータブルエコーの導入基礎調査,有限会社MIZOUE PROJECT JAPAN,広島県,【契約交渉中】,バングラデシュ
1159,2016,案件化調査（中小企業支援型）,水の浄化・水処理,バリ州における浄化槽の包括的な維持管理体制の構築による水環境改善案件化調査,株式会社アースクリエイティブ,山口県,アイ・シー・ネット株式会社,インドネシア
,,,,,,,,
,,,,,,,,
1160,2016,案件化調査（中小企業支援型）,農業,"農業生産性向上のためのシートパイプシステム導入に関する案件化調査【5,000万円上限枠】",協和建設工業株式会社,山口県,株式会社オリエンタルコンサルタンツグローバル,インドネシア
,,,,,,,,
,,,,,,,,
1161,2012,案件化調査（中小企業支援型）,防災・災害対策,防災・環境保全及び環境再生技術の展開・普及可能性調査,多機能フィルター株式会社、国立大学法人山口大学 共同企業体,山口県,(なし),インドネシア
,,,,,,,,
,,,,,,,,
1162,2017,案件化調査（中小企業支援型）,その他,インフラメンテナンスコスト抑制のためのスケルトン防災コーティング導入にかかる案件化調査,株式会社エムビーエス,山口県,アクセンチュア株式会社,タイ
,,,,,,,,
,,,,,,,,
